,Yoon,Barton,Name,Corr,dx/sx,Cons/prog,Ind/col,Flame,Agreeableness,Conscientiousness,Em Stability,Extroversion,Openness,Social Use
156,0.5102066142392064,40.166666666666664,R_2BwCnpl0vIbV2hr,0.2935896656529302,76,8,20,38,50.0,56.0,75.0,50.0,43.5,11.5
157,0.19815703922968855,14.5,R_2BtCtVEOpQitsoo,0.7747365849004134,86,14,69,37,45.0,49.5,26.5,30.5,44.0,62.333333333333336
158,0.13166497634643848,9.9,R_27sxAQAzfrl8PVg,0.7492996225227189,58,10,23,8,73.5,69.5,77.0,21.0,72.5,31.0
159,0.29167268927314,20.033333333333335,R_27fZrjxepWJQ22w,0.4849701852667585,100,2,50,5,71.5,68.0,79.5,15.0,24.0,21.83333333333333
160,0.1008311531353618,8.233333333333333,R_27Kfq1xEjtPNiyc,0.8790409384602265,35,10,50,13,15.5,60.5,54.5,50.5,74.5,34.333333333333336
161,0.5531738739561284,47.63333333333333,R_25z5G0XkywDOvCD,-0.0130232909278066,58,23,26,7,31.0,55.5,65.5,41.0,69.0,7.166666666666667
162,0.3461681965169319,24.2,R_25QNosftdkT2xjT,0.6633557935418813,41,38,35,14,58.0,67.5,63.5,46.5,26.0,32.166666666666664
163,0.30371848149547004,22.1,R_24dduUJHqHNBlqf,0.5756411372134778,65,7,15,30,51.0,50.0,54.0,53.0,61.5,10.666666666666666
164,0.3421745017572847,31.166666666666668,R_23w8lxEnSDKtIfn,0.8362803489687682,42,57,45,67,65.0,93.0,83.0,98.5,85.0,54.5
165,0.37809185450314736,28.7,R_23e2iB3ISeimD1c,0.3675932839985663,49,3,40,48,1.0,46.5,79.5,11.5,56.0,27.166666666666668
166,0.20509651905852602,16.1,R_232XRzqxJzaWDk7,0.8067184815907998,65,8,14,75,57.0,72.0,7.5,30.0,60.0,56.66666666666666
167,0.3115516144434102,22.133333333333333,R_22lT31xvVegvQiZ,0.5763782250792381,72,3,26,39,8.0,44.5,46.5,38.5,94.0,42.833333333333336
168,0.22228659078169277,15.533333333333333,R_21ERXLC2tIGR9IL,0.6947406540283937,100,0,0,96,61.5,37.5,0.0,97.5,99.5,91.83333333333331
169,0.6344615407308137,62.266666666666666,R_210X049csQHZwNG,-0.1253068895769839,33,0,4,0,28.5,75.0,42.0,50.5,80.5,47.333333333333336
170,0.1737874190971714,11.7,R_20TLtkDQVE5KkLn,0.8192747385454723,66,23,30,33,70.0,66.0,60.0,62.5,35.5,66.83333333333333
